Number	Name	CodeNr	CodeTxt
126	Secondary raw materials	p37	C_RYMS
127	Bottles for treatment, Recycling of bottles by direct reuse	p37.w.1	C_BOTW
128	Electricity by coal	p40.11.a	C_POWC
129	Electricity by gas	p40.11.b	C_POWG
130	Electricity by nuclear	p40.11.c	C_POWN
131	Electricity by hydro	p40.11.d	C_POWH
132	Electricity by wind	p40.11.e	C_POWW
133	Electricity by petroleum and other oil derivatives	p40.11.f	C_POWP
134	Electricity by biomass and waste	p40.11.g	C_POWB
135	Electricity by solar photovoltaic	p40.11.h	C_POWS
136	Electricity by solar thermal	p40.11.i	C_POWE
137	Electricity by tide, wave, ocean	p40.11.j	C_POWO
138	Electricity by Geothermal	p40.11.k	C_POWM
139	Electricity nec	p40.11.l	C_POWZ
140	Transmission services of electricity	p40.12	C_POWT
141	Distribution and trade services of electricity	p40.13	C_POWD
142	Coke oven gas	p40.2.a	C_COOG
143	Blast Furnace Gas	p40.2.b	C_MBFG
144	Oxygen Steel Furnace Gas	p40.2.c	C_MOSG
145	Gas Works Gas	p40.2.d	C_MGWG
146	Biogas	p40.2.e	C_MBIO
147	Distribution services of gaseous fuels through mains	p40.2.1	C_GASD
148	Steam and hot water supply services	p40.3	C_HWAT
149	Collected and purified water, distribution services of water (41)	p41	C_WATR
150	Construction work (45)	p45	C_CONS
151	Secondary construction material for treatment, Re-processing of secondary construction material into aggregates	p45.w	C_CONW
152	Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries	p50.a	C_TDMO
153	Retail trade services of motor fuel	p50.b	C_TDFU
154	Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)	p51	C_TDWH
155	"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)"	p52	C_TDRT
156	Hotel and restaurant services (55)	p55	C_HORE
157	Railway transportation services	p60.1	C_TRAI
158	Other land transportation services	p60.2	C_TLND
159	Transportation services via pipelines	p60.3	C_TPIP
160	Sea and coastal water transportation services	p61.1	C_TWAS
161	Inland water transportation services	p61.2	C_TWAI
162	Air transport services (62)	p62	C_TAIR
163	"Supporting and auxiliary transport services; travel agency services (63)"	p63	C_TAUX
164	Post and telecommunication services (64)	p64	C_PTEL
165	Financial intermediation services, except insurance and pension funding services (65)	p65	C_FINT
166	Insurance and pension funding services, except compulsory social security services (66)	p66	C_FINS
167	Services auxiliary to financial intermediation (67)	p67	C_FAUX
168	Real estate services (70)	p70	C_REAL
169	Renting services of machinery and equipment without operator and of personal and household goods (71)	p71	C_MARE
170	Computer and related services (72)	p72	C_COMP
171	Research and development services (73)	p73	C_RESD
172	Other business services (74)	p74	C_OBUS
173	"Public administration and defence services; compulsory social security services (75)"	p75	C_PADF
174	Education services (80)	p80	C_EDUC
175	Health and social work services (85)	p85	C_HEAL
176	Food waste for treatment: incineration	p90.1.a	C_INCF
177	Paper waste for treatment: incineration	p90.1.b	C_INCP
178	Plastic waste for treatment: incineration	p90.1.c	C_INCL
179	Intert/metal waste for treatment: incineration	p90.1.d	C_INCM
180	Textiles waste for treatment: incineration	p90.1.e	C_INCT
181	Wood waste for treatment: incineration	p90.1.f	C_INCW
182	Oil/hazardous waste for treatment: incineration	p90.1.g	C_INCO
183	Food waste for treatment: biogasification and land application	p90.2.a	C_BIOF
184	Paper waste for treatment: biogasification and land application	p90.2.b	C_BIOP
185	Sewage sludge for treatment: biogasification and land application	p90.2.c	C_BIOS
186	Food waste for treatment: composting and land application	p90.3.a	C_COMF
187	Paper and wood waste for treatment: composting and land application	p90.3.b	C_COMW
188	Food waste for treatment: waste water treatment	p90.4.a	C_WASF
189	Other waste for treatment: waste water treatment	p90.4.b	C_WASO
190	Food waste for treatment: landfill	p90.5.a	C_LANF
191	Paper for treatment: landfill	p90.5.b	C_LANP
192	Plastic waste for treatment: landfill	p90.5.c	C_LANL
193	Inert/metal/hazardous waste for treatment: landfill	p90.5.d	C_LANI
194	Textiles waste for treatment: landfill	p90.5.e	C_LANT
195	Wood waste for treatment: landfill	p90.5.f	C_LANW
196	Membership organisation services n.e.c. (91)	p91	C_ORGA
197	Recreational, cultural and sporting services (92)	p92	C_RECR
198	Other services (93)	p93	C_OSER
199	Private households with employed persons (95)	p95	C_PRHH
200	Extra-territorial organizations and bodies	p99	C_EXTO
